sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
814782020503,,Default,simple,Default Category,base,"TABLECLOTH ASH 60""X120""","TABLECLOTH ASH 60""X120""",,1,2,Taxable Goods,"Catalog, Search",139,,,,TABLECLOTH-ASH-60X120,"TABLECLOTH ASH 60""X120""","TABLECLOTH ASH 60""X120""","TABLECLOTH ASH 60""X120""",2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
814782020817,,Default,simple,Default Category,base,"TABLECLOTH POPPY RED 60""X90""","TABLECLOTH POPPY RED 60""X90""",,1,2,Taxable Goods,"Catalog, Search",109,,,,TABLECLOTH-POPPY-RED-60X90-1,"TABLECLOTH POPPY RED 60""X90""","TABLECLOTH POPPY RED 60""X90""","TABLECLOTH POPPY RED 60""X90""",2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
814782020831,,Default,simple,Default Category,base,"TABLECLOTH POPPY RED 60""X120""","TABLECLOTH POPPY RED 60""X120""",,1,2,Taxable Goods,"Catalog, Search",139,,,,TABLECLOTH-POPPY-RED-60X120-1,"TABLECLOTH POPPY RED 60""X120""","TABLECLOTH POPPY RED 60""X120""","TABLECLOTH POPPY RED 60""X120""",2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
814782020985,,Default,simple,Default Category,base,"TABLECLOTH ASH 60""X120""","TABLECLOTH ASH 60""X120""",,1,2,Taxable Goods,"Catalog, Search",139,,,,TABLECLOTH-ASH-60X120-1,"TABLECLOTH ASH 60""X120""","TABLECLOTH ASH 60""X120""","TABLECLOTH ASH 60""X120""",2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
850834008860,,Default,simple,Default Category,base,Tastefully Under Pressure Cook Book,Tastefully Under Pressure Cook Book,,1,2,Taxable Goods,"Catalog, Search",15.95,,,,Tastefully-Under-Pressure-Cook-Book,Tastefully Under Pressure Cook Book,Tastefully Under Pressure Cook Book,Tastefully Under Pressure Cook Book,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
883049009537,,Default,simple,Default Category,base,KitchenAid 5Qt Artisan Mixer - Blue Willow,KitchenAid 5Qt Artisan Mixer - Blue Willow,,10,2,Taxable Goods,"Catalog, Search",349,,,,KitchenAid-5Qt-Artisan-Mixer-Blue-Willow,KitchenAid 5Qt Artisan Mixer - Blue Willow,KitchenAid 5Qt Artisan Mixer - Blue Willow,KitchenAid 5Qt Artisan Mixer - Blue Willow,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
883049022345,,Default,simple,Default Category,base,ARTISAN 5QT TILT MIX CORNF BLU,ARTISAN 5QT TILT MIX CORNF BLU,,1,2,Taxable Goods,"Catalog, Search",349,,,,ARTISAN-5QT-TILT-MIX-CORNF-BLU,ARTISAN 5QT TILT MIX CORNF BLU,ARTISAN 5QT TILT MIX CORNF BLU,ARTISAN 5QT TILT MIX CORNF BLU,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
883049215648,,Default,simple,Default Category,base,Artisan 5 Quart Capacity Glass Bowl Mixer - Candy Apple Red,Artisan 5 Quart Capacity Glass Bowl Mixer - Candy Apple Red,,15,2,Taxable Goods,"Catalog, Search",399,,,,Artisan-5-Quart-Capacity-Glass-Bowl-Mixer-Candy-Apple-Red,Artisan 5 Quart Capacity Glass Bowl Mixer - Candy Apple Red,Artisan 5 Quart Capacity Glass Bowl Mixer - Candy Apple Red,Artisan 5 Quart Capacity Glass Bowl Mixer - Candy Apple Red,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
883049215655,,Default,simple,Default Category,base,KitchenAid 5Qt Artisan Mixer - Silver,KitchenAid 5Qt Artisan Mixer - Silver,,10,2,Taxable Goods,"Catalog, Search",349,,,,KitchenAid-5Qt-Artisan-Mixer-Silver,KitchenAid 5Qt Artisan Mixer - Silver,KitchenAid 5Qt Artisan Mixer - Silver,KitchenAid 5Qt Artisan Mixer - Silver,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
883049246307,,Default,simple,Default Category,base,SLOW COOKER 6QT S/S STD LID,SLOW COOKER 6QT S/S STD LID,,1,2,Taxable Goods,"Catalog, Search",99.99,,,,SLOW-COOKER-6QT-S/S-STD-LID,SLOW COOKER 6QT S/S STD LID,SLOW COOKER 6QT S/S STD LID,SLOW COOKER 6QT S/S STD LID,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
