sku	product_type	categories	name	description	short_description	weight	price	url_key	meta_title	meta_keywords	meta_description	qty
883049301372	simple	Default Category	PRO NONSTICK 9"X9"X2" SQ PAN	PRO NONSTICK 9"X9"X2" SQ PAN		1	21.99	PRO-NONSTICK-9X9X2-SQ-PAN	PRO NONSTICK 9"X9"X2" SQ PAN	PRO NONSTICK 9"X9"X2" SQ PAN	PRO NONSTICK 9"X9"X2" SQ PAN	100
883049302140	simple	Default Category	KitchenAid 11 Cup Food Processor with Exact Slice - Empire Red 	KitchenAid 11 Cup Food Processor with Exact Slice - Empire Red 		10	199.99	KitchenAid-11-Cup-Food-Processor-with-Exact-Slice-Empire-Red	KitchenAid 11 Cup Food Processor with Exact Slice - Empire Red 	KitchenAid 11 Cup Food Processor with Exact Slice - Empire Red 	KitchenAid 11 Cup Food Processor with Exact Slice - Empire Red 	100
883049330747	simple	Default Category	KitchenAid Food Processor Stand Mixer Dicing Kit	KitchenAid Food Processor Stand Mixer Dicing Kit		5	69.99	KitchenAid-Food-Processor-Stand-Mixer-Dicing-Kit	KitchenAid Food Processor Stand Mixer Dicing Kit	KitchenAid Food Processor Stand Mixer Dicing Kit	KitchenAid Food Processor Stand Mixer Dicing Kit	100
883049341187	simple	Default Category	6 Quart Stand Mixer: Design Series Glass Bowl - Onyx Black 	6 Quart Stand Mixer: Design Series Glass Bowl - Onyx Black 		16	499.00	6-Quart-Stand-Mixer:-Design-Series-Glass-Bowl-Onyx-Black	6 Quart Stand Mixer: Design Series Glass Bowl - Onyx Black 	6 Quart Stand Mixer: Design Series Glass Bowl - Onyx Black 	6 Quart Stand Mixer: Design Series Glass Bowl - Onyx Black 	100
883049341477	simple	Default Category	6Qt Glass Bowl Kit for Bowl-Lift Stand Mixers	6Qt Glass Bowl Kit for Bowl-Lift Stand Mixers		5	129.99	6Qt-Glass-Bowl-Kit-for-Bowl-Lift-Stand-Mixers	6Qt Glass Bowl Kit for Bowl-Lift Stand Mixers	6Qt Glass Bowl Kit for Bowl-Lift Stand Mixers	6Qt Glass Bowl Kit for Bowl-Lift Stand Mixers	100
883049343303	simple	Default Category	14 CUP FOOD PROCESSOR WHITE	14 CUP FOOD PROCESSOR WHITE		0	349.00	14-CUP-FOOD-PROCESSOR-WHITE	14 CUP FOOD PROCESSOR WHITE	14 CUP FOOD PROCESSOR WHITE	14 CUP FOOD PROCESSOR WHITE	100
883049343495	simple	Default Category	ARTISAN 5QT TILT MIXER LAVENDR	ARTISAN 5QT TILT MIXER LAVENDR		1	349.00	ARTISAN-5QT-TILT-MIXER-LAVENDR	ARTISAN 5QT TILT MIXER LAVENDR	ARTISAN 5QT TILT MIXER LAVENDR	ARTISAN 5QT TILT MIXER LAVENDR	100
883049343501	simple	Default Category	6 Quart Stand Mixer: Design Series Glass Bowl - Sugar Pearl Silver 	6 Quart Stand Mixer: Design Series Glass Bowl - Sugar Pearl Silver 		16	499.00	6-Quart-Stand-Mixer:-Design-Series-Glass-Bowl-Sugar-Pearl-Silver	6 Quart Stand Mixer: Design Series Glass Bowl - Sugar Pearl Silver 	6 Quart Stand Mixer: Design Series Glass Bowl - Sugar Pearl Silver 	6 Quart Stand Mixer: Design Series Glass Bowl - Sugar Pearl Silver 	100
883049355153	simple	Default Category	ARTISAN 5QT TILT MIXER BORDEA	ARTISAN 5QT TILT MIXER BORDEA		1	349.00	ARTISAN-5QT-TILT-MIXER-BORDEA	ARTISAN 5QT TILT MIXER BORDEA	ARTISAN 5QT TILT MIXER BORDEA	ARTISAN 5QT TILT MIXER BORDEA	100
883049369303	simple	Default Category	Artisan 5 Quart Capacity Glass Bowl Mixer - Champagne Gold 	Artisan 5 Quart Capacity Glass Bowl Mixer - Champagne Gold 		15	399.00	Artisan-5-Quart-Capacity-Glass-Bowl-Mixer-Champagne-Gold	Artisan 5 Quart Capacity Glass Bowl Mixer - Champagne Gold 	Artisan 5 Quart Capacity Glass Bowl Mixer - Champagne Gold 	Artisan 5 Quart Capacity Glass Bowl Mixer - Champagne Gold 	100
